subject,teacher,time_detail,all_colleges_registered,classroom
商學基礎理論與應用,巫立宇、邱奕嘉、黃家齊、黃國峯、鄭至甫,未定或彈性,3, 無資料
質性與個案研究方法,彭朱如,未定或彈性,3, 無資料
研究發表營,吳思華、吳豐祥、李曉惠、邱奕嘉、黃國峯、謝凱宇、羅明琇,未定或彈性,2, 無資料
學習演算法和其演化,蔡瑞煌,四D56,5,電算智慧教室
軟體分析與測試,洪智鐸,五D56,1,商館260311
創新創業實作專題,張欣綠,五D56,9,商館260102
滲透測試實務應用,孫士勝,一D56,2,電算微三室
資安檢測技術與實務,洪光鈞,三EFG,2,電算微二室
數位鑑識,許晉銘,二D56,1,大仁200401資科電腦室
資訊安全管理,高大宇,四EFG,5,商館260101
資訊系統專案管理,杜雨儒,三D56,32,商館260311
資料科學的商業應用,向倩儀,四234,23,商館260312
企業診斷與顧問案例研討,黃國峯、羅明琇,未定或彈性,2, 無資料
新興資訊技術發展與應用,郁方、陳恭、蔡瑞煌、蕭舜文、簡士鎰,未定或彈性,2, 無資料
事業創新與智財策略,馮震宇、鄭至甫,未定或彈性,2, 無資料
策略管理理論,彭朱如、黃國峯、謝凱宇,未定或彈性,2, 無資料
使用者體驗設計,簡士鎰,五D56,21,商館260205
數位經濟與產業競合策略,洪為璽,四7,4,商館260313
進階資訊系統研發,蕭舜文,三D56,15,商館260310
投資決策與管理,周冠男,一D56,38,商館260302
多國籍企業財務決策,張元晨,四234,39,商館260301
財務學術研討（二）,陳鴻毅,五C,4,商館260301
財務計量研討,陳鴻毅,二234,4,專案研究室
財務理論研討（二）：連續時間模式,謝沛霖,一567,4,專案研究室
全方位理財與規劃,周行一,四234,7,商館260101
財務資訊管理,謝沛霖,五234,22,電算微二室
跨國併購研討,陳嬿如,一567,0, 無資料
跨國併購研討,陳嬿如,一567,0, 無資料
財務實證研究,湛可南,五234,4,商館260304
金融科技應用與實務,翁禮祺,二234,39,商館260206
財務金融卓越講座,陳鴻毅,四567,16,商館260302
產險經營管理實務講座,林國彬,四234,22,商館260306
公司理財研討,邱健嘉,二D56,4,專案研究室
債券分析,岳夢蘭,四567,6,專案研究室
企業重組與購併,吳啟銘,二234,23,商館260302
保險理論,陳彩稚,四D56,27,商館260312
保險法,陳俊元,二34,30,商館260102
退休金與產物保險之精算應用,張士傑,二D56,27,商館260201
保險財務管理,蔡政憲,一D56,19,商館260304
危險理論,曾毓英,五234,14,商館260305
保險會計與財務報表分析,王儷玲,四EFG,30,商館260210
社會保險,劉文彬,一D56,2,商館260306
國際保險監理專題,林國彬,二EFG,20,商館260101
大陸保險法專題,施文森,三678,0, 無資料
保險產業專題,鄭士卿,二EFG,1,商館260204
投資分析,謝明華,四234,10,商館260311
連續財務專題,張士傑,三EFG,1,商館260305
保險與風險管理研究專題（二）,彭金隆,五EF,8,商館260304
保險業併購與退場專題研究,林國彬,一EFG,14,商館260311
保險監理與法規,陳開元,三D5,1,商館260204
機器學習與人工智慧個案實作,謝明華,三234,21,商館260311
金融保險財務管理專題研討,賴志仁,一2,5,保險研討室
產險經營管理實務講座,林國彬,四234,20,商館260306
大陸保險法專題,施文森,三678,2,保險研討室
海上保險,黃正宗,二D56,11,商館260204
金融科技趨勢與創新,王儷玲,二567,13,元大人文廳
團隊經營與領導,黃家齊,未定或彈性,6, 無資料
國際企業管理,巫立宇,三567,21,教室洽系所
財務管理,陳鴻毅,四234,49,教室洽系所
財務管理,顏錫銘,四234,49,教室洽系所
策略管理,黃國峯,三234,25,教室洽系所
策略管理,謝凱宇,三234,45,教室洽系所
企業法律,周振鋒,四567,40,教室洽系所
策略資訊管理,周彥君,二234,39,教室洽系所
策略資訊管理,張欣綠,二234,37,教室洽系所
公司治理,丁克華、馬秀如,二5,53,教室洽系所
公司治理,丁克華、馬秀如,二6,50,教室洽系所
企業倫理與永續發展,別蓮蒂、蘇威傑,五5,48,教室洽系所
企業倫理與永續發展,別蓮蒂、蘇威傑,五6,50,教室洽系所
全球企業經營與產業發展趨勢－日本,羅明琇,未定或彈性,25, 無資料
人力資源管理數據分析,胡昌亞,一567,21,教室洽系所
全球及本土企業經營,許書瑋,未定或彈性,0, 無資料
日本現代商場經營管理,樓永堅,未定或彈性,0, 無資料
全球及本土企業經營（一）,許書瑋,未定或彈性,25, 無資料
策略矩陣分析法：觀念與實務應用,彭朱如,四567,33,教室洽系所
高科技產業趨勢與策略分析,詹文男,三FG,36,教室洽系所
組織行為,許書瑋,一567,31,教室洽系所
平台策略與創新實踐,邱奕嘉,二EFG,45,教室洽系所
銷售與顧客關係管理－策略觀,巫立宇,一12,43,教室洽系所
公司財務決策,陳嬿如,一EFG三EF,19,教室洽系所
企業個案研討,司徒達賢,五234,37,教室洽系所
企業專案研討（Ａ）,詳備註,未定或彈性,0, 無資料
企業專案研討（Ｂ）,詳備註,未定或彈性,0, 無資料
企業專案研討（Ｃ）,詳備註,未定或彈性,0, 無資料
企業競合,周德宇,三567,30,教室洽系所
談判,劉必榮,未定或彈性,42, 無資料
消費者行為,別蓮蒂,四567,35,教室洽系所
合併、收購與重整,吳啟銘,三567,22,教室洽系所
經濟學,周德宇,三FG,17,教室洽系所
會計學,潘健民,四FG,27,教室洽系所
智慧財產管理,莊弘鈺,一678,23,商館260201
創新經濟學與產業動態分析,許牧彥,四234,12,商館260914
科技管理與智慧財產理論研討（二）,張瑜倩,五6,3,商館260914
科技管理與智慧財產理論研討（四）,鄭菀瓊,五7,2,商館260914
創新與智慧財產,鄭菀瓊,五234,35,商館260201
著作權法律與管理,鄭菀瓊,四D56,17,商館260201
商標實務,陳秉訓,五234,6,商館260909
行銷管理,張瑜倩,二234,30,寶來科技廳
研究方法,張瑜倩,一D56,34,商館260913
入學研究營,吳思華、吳靜吉、邱志聖、洪叔民、莊皓鈞、黃國峯,未定或彈性,3, 無資料
商學基礎理論與應用,巫立宇、邱奕嘉、黃家齊、黃國峯、鄭至甫,未定或彈性,3, 無資料
質性與個案研究方法,彭朱如,未定或彈性,3, 無資料
研究發表營,吳思華、吳豐祥、李曉惠、邱奕嘉、黃國峯、謝凱宇、羅明琇,未定或彈性,3, 無資料
事業創新與智財策略,馮震宇、鄭至甫,未定或彈性,3, 無資料
企業碳權管理的創新策略研討,柯玉佳、許牧彥,三EF,11,商館260914
劣勢創新實務,蕭瑞麟,二D56,14,商館260202
劣勢創新實務,蕭瑞麟,二D56,3,商館260202
生物科技管理個案,詳備註、鄭菀瓊,一567,6,商館260909
數位轉型：科技賦能與競爭優勢,蕭瑞麟,四D56,20,商館260202
產業間諜案例研究,陳秉訓,三3,5,商館260909
科技產業概論,楊宗翰,二E,31,商館260913
智慧財產與企業併購專題研究,馮震宇,三56,8,商館260912
商業分析,楊宗翰,四EFG,21,商館260913
企業診斷與顧問案例研討,黃國峯、羅明琇,未定或彈性,2, 無資料
X創業家,鄭至甫,未定或彈性,12, 無資料
新興資訊技術發展與應用,郁方、陳恭、蔡瑞煌、蕭舜文、簡士鎰,未定或彈性,3, 無資料
策略與創新理論研討（一）,吳思華、陳宗文,四234,6,商館260912
綠色科技創新,柯玉佳,三234,12,商館260914
無形資產報導與評價,蘇瓜藤,三D56,2,商館260815
智慧財產權與競爭法的衝突與調和,劉孔中,五EF,0, 無資料
文化產業與智慧財產權專題實作（二）,陳秉訓,一C二C,8,商館260909
策略管理理論,彭朱如、黃國峯、謝凱宇,未定或彈性,3, 無資料
市場與創新科技預測,吳豐祥,二D5,30,商館260913
動態競爭與創新研討,許牧彥,五234,2,商館260908
智慧財產權法專題研究（四）,沈宗倫,五34,5,綜北270306
智慧財產權法專題研究（二）,陳龍昇,三78,2,綜合271408
行銷管理,顧筱筠,日234,31,元大人文廳
資訊管理,杜雨儒、尚孝純,三FGH,30,元大人文廳
財務管理,蔡政憲,一FGH,32,元大人文廳
國際沉浸式課程之深度臺灣（二）,陳嬿如,未定或彈性,0, 無資料
國際沉浸式課程之深度臺灣（一）,陳嬿如,未定或彈性,11, 無資料
從電子商務到虛擬商務,邱淑鈴,五FGH,14,炎成創新廳
成果導向的策略領導力,劉秀明,日678,24,元大人文廳
企業永續及財務決策,陳鴻毅,四FGH,16,炎成創新廳
商業決策分析入門,胡昌亞,二FGH,0, 無資料
數位行銷,朴星俊、陳冠儒,一FGH,16,炎成創新廳
創業與新事業發展,何乾瑋,四FGH,16,元大人文廳
創新經營與管理,楊光磊,六234,20,元大人文廳
企業競合,周德宇,二FGH,26,元大人文廳
策略人才管理,許育瑋,五FGH,0, 無資料
消費者行為,何富年,六CD5,18,元大人文廳
國際財務,繆志鵬,未定或彈性,0, 無資料
企業實習,詳備註,未定或彈性,0, 無資料
生物科技管理個案,詳備註、鄭菀瓊,一567,0,商館260909
