subject,teacher,time_detail,all_colleges_registered,classroom
日本殖民帝國專題,楊素霞,一56,3,研究250420
研究方法與指導Ｂ２（文化學群）,金想容,二78,3,季陶340304
研究方法與指導Ａ２（語言學群）,黑﨑貴史,四34,4,季陶340304
日本近代政治外交史專題研究２,于乃明,二56,2,綜合271111
日本古典文法,鄭家瑜,四D56,0,研究250102
外語能力檢定,陳慶智,未定或彈性,1, 無資料
研究方法與論文寫作,朴炳善,三234,6,道藩320314
韓國現代史專題,李殷祥,四234,3,研究250421
韓語翻譯,林侑毅,一D56,6,研究250303
韓字的歷史,李昭林,四D56,3,研究250421
韓國文化教育論,吳輪貞,三567,6,商館260209
韓國學研究課題,權景祿,二D56,6,道藩320313
中亞專題研究,艾彌拉,二D56,7,道藩320217
現代土耳其與歐洲社經關係,熊道天,三D56,0, 無資料
民族政治社會制度,趙竹成,二78,1,綜南270312
散文文學,詳備註,四CD,0, 無資料
阿拉伯詩歌與電影中的情愛與慾念,叢培臻,一56,0, 無資料
海灣方言,詳備註,二56,0, 無資料
內陸歐亞概論,藍美華,五56,1,綜南270411
吉爾吉斯語 ﹙二﹚,艾彌拉,一D56,1,道藩320217
歐盟與俄羅斯經貿關係專題,洪美蘭,五D56,0, 無資料
俄國經濟,魏百谷,四678,0, 無資料
中俄關係研究,許菁芸,二CD5,0, 無資料
蘇聯史,許菁芸,三D5,1,綜合270811
中東衝突專題,張景安,三D56,2,研究250424
選修英文：創意寫作,戚大為,五234,13,研究250202
選修英文：閱讀與口語訓練,陳綉諭,五234,19,電算智慧教室
選修英文：閱讀與口語訓練,陳綉諭,二234,17,電算智慧教室
選修英文：學術聽說訓練,郭曉蓉,三234,25,資訊140208
選修英文：學術聽說訓練,李寶莉,二234,18,綜北270306
選修英文：學術聽說訓練,黃杏妃,五234,7,研究250306
選修英文：英文寫作,黃淑真,三D56,16,研究250102
選修英文：英文寫作,陳彩虹,四D56,20,研究250306
選修英文：英文寫作,戚大為,三234,9,研究250202
選修英文：英文寫作,詳備註,五234,0, 無資料
選修英文：職場溝通,賴宇彤,四78E,26,研究250305
選修英文：職場溝通,金嘉炘,四D56,17,季陶340402
選修英文：職場溝通,毛佩琦,二234,35,研究250307
選修英文：職場溝通,崔正芳,二234,26,研究250308
大學外文（二）：拉丁文,區立遠,五D56,24,學思040303
大學外文（二）：土耳其語,謝怡達,四D56,0, 無資料
大學外文（二）：古希臘文,區立遠,五34C,18,學思040303
大學外文（四）：法文,李立林,五567,23,學思040301
大學外文（四）：德文,許嘉眙,一D56,28,學思040202
大學外文（二）：泰文,譚華德,二D56,18,道藩320119
大學外文（二）：越南文,陳凰鳳,二567,14,大勇210104
大學外文（二）：越南文,陳凰鳳,五567,25,學思040107
大學外文（二）：韓語,羅際任,二D56,44,資訊140105
大學外文（二）：韓語,羅際任,三D56,49,資訊140105
大學外文（二）：韓語,羅際任,五D56,38,資訊140106
大學外文（四）：韓語,羅際任,二234,49,資訊140105
大學外文（二）：葡萄牙文,守般若,四D56,6,道藩320313
大學外文（二）：波蘭文,羅百德,二567,4,道藩320111
大學外文（二）：捷克文,林蒔慧,二D56,7,道藩320316
大學外文（二）：滿語,林士鉉,二56,2,綜南270210
大學外文（二）：藏語,黃奕彥,二56,5,綜南270110
大學外文（二）：蒙古語,藍美華,二56,2,綜南270108
大學外文（二）：維吾爾語,張中復,二78,3,綜南270308
大學外文（四）：日文,詹兆雯,四D56,43,資訊140308
大學外文（四）：西班牙文,馬德睿,五D56,37,研究250206
大學外文（二）：西班牙文,李文康,三234,29,研究250101
大學外文（二）：西班牙文,李文康,三D56,56,研究250101
大學外文（二）：西班牙文,李文康,三78E,48,研究250101
大學外文（二）：西班牙文,李文康,四234,31,研究250101
大學外文（二）：西班牙文,李文康,四D56,55,研究250101
大學外文（二）：法文,李立林,二234,25,學思040103
大學外文（二）：法文,李立林,四234,25,學思040103
